initials;full-name;action-object
PW;Prince William;airlifting someone off ... the sea
JZ;Jay-Z;rapping into ... a giant microphone
BO;Barack Obama;fly-swatting ... a buzzing fly
DB;David Beckham;kicking ... a soccer ball
PK;Princess Kate;wearing a beautiful dress in ... a church
B;Beyoncé;power dancing on ... a beach
MO;Michelle Obama;doing jumping jacks on ... the white house lawn
VB;Victoria Beckham;applying lipstick in front of ... a mirror
Z;Zeus;disguising himself as ... a swan
JP;Pope John Paul II;tearfully forgiving ... the man who just shot him
JC;Jesus Christ;walking on ... a lake
DL;The Dalai Lama;praying to ... a buddha
OW;Oprah Winfrey;interviewing on ... a couch
HC;Hillary Clinton;slapping ... Monica Lewinsky
SP;Sarah Palin;rifle shooting ... a moose
JR;J.K. Rowling;writing a story about ... Harry Potter
BG;Bill Gates;cackling madly at ......a crashing PC
MZ;Mark Zuckerberg;unfriending ... his best friend
SJ;Steve Jobs;taking lsd and inventing ... the iPad
KR;Kevin Rose;drinking ... tea
MM;Marilyn Monroe;’s dress ballooning up over ... a subway vent
M;Medusa;turning to stone with an icy glare ... a statue
PM;Pamela Anderson;saving ... a drowning child
NC;Naomi Campbell;smacking a maid with ... a handbag
IN;Isaac Newton;getting hit on the head by ... an apple
G;Galileo;looking through a telescope at ... the moon
E;Einstein;traveling at light speed alongside ... a beam of light
SH;Stephen Hawking;speaking with robot voice from ... a wheelchair
M;Madonna;striking yoga poses in front of ... an ’80s boom box
R;Rihanna;holding an umbrella in ... a rain storm
TS;Taylor Swift;being viciously insulted by ... Kanye West
LG;Lady Gaga;wearing a meat dress for ... the paparazzi
H;Hitler;goose stepping into ... a bunker
S;Stalin;telling an amusing joke to ... a dancing bear
JA;Julian Assange;vanishing in ... a puff of smoke
OL;Osama Bin Laden;recording a ghetto video with ... a suicide bomber
JR;Julia Roberts;french kissing ... Richard Gere
AJ;Angelina Jolie;karate kicking ... an ancient tomb
SJ;Scarlett Johansson;getting drunk with ... Bill Murray
RW;Reese Witherspoon;playing guitar with ... Johnny Cash
GC;George Clooney;smoking ... a cigarette
JD;Johnny Depp;making piratical noises with ... a pirate ship
TH;Tom Hanks;running like forrest gump through ... the woods
BS;Ben Stiller;getting a lie-detector test from ... Robert De Niro
AK;Anna Kournikova;sunbathing on top of ... Enrique Iglesias
WS;The Williams Sisters;lifting into the air ... the Wimbledon Trophy
FJ;Flo-Jo;receiving a gold medal while singing along to ... “The Starspangled Banner”
MJ;Michael Jordan;slam dunking ... a basketball
AS;Annika Sörenstam;driving ... a golf ball
MA;Muhammad Ali;punching ... a butterfly
RF;Roger Federer;serving ... a tennis ball
UB;Usain Bolt;running ridiculously fast after ... a cheetah
