initials;full-name;action-object;description
AM;Abby Mallard;;Chicken Little
AG;Abigail Gabble;;The Aristocats
AM;Abis Mal;;The Return of Jafar
A;Abu;;Aladdin
A;Achilles;;The Hunchback of Notre Dame
A;Adella;;The Little Mermaid
WP;Agent Wendy Pleakley;;Lilo & Stitch
A;Akela;;The Jungle Book
AA;Al the Alligator;;Lady and the Tramp
A;Aladar;;Dinosaur
A;Aladdin;;Aladdin
AS;Alameda Slim;;Home on the Range
AD;Alan-a-Dale;;Robin Hood
A;Alana;;The Little Mermaid
A;Alcmene;;Hercules
A;Alice;;Alice in Wonderland
AB;Alice Bluebonnet;;Make Mine Music
AG;Amelia Gabble;;The Aristocats
AS;Amos Slade;;The Fox and the Hound
A;Amphitryon;;Hercules
AT;Anastasia Tremaine;;Cinderella
A;Anda;;Brother Bear 2
A;Andrina;;The Little Mermaid
A;Angel;;Lady and the Tramp II: Scamp's Adventure
A;Angelique;;Beauty and the Beast: The Enchanted Christmas
AM;Angus MacBadger;;The Adventures of Ichabod and Mr. Toad
AR;Anita Radcliffe;;101 Dalmatians
A;Anna;;Frozen
A;Annette;;Lady and the Tramp II: Scamp's Adventure
A;Apollo;;Hercules
A;Aquata;;The Little Mermaid
AB;Aracuan Bird;;The Three Caballeros
TA;The Archdeacon;;The Hunchback of Notre Dame
AP;Archimedes Q. Porter;;Tarzan
A;Archimedes;;The Sword in the Stone
A;Ariel;;The Little Mermaid
A;Arista;;The Little Mermaid
A;Armoire;;Beauty and the Beast
A;Arthur/Wart;;The Sword in the Stone
A;Arthur;;Jungle Cubs
DB;Assistant Mayor Dawn Bellwether;;Zootopia
A;Atka;;Brother Bear 2
A;Atropos;;Hercules
A;Attina;;The Little Mermaid
AC;Audrey the Chicken;;Home on the Range
AR;Audrey Ramirez;;Atlantis: The Lost Empire
AS;Aunt Sarah;;Lady and the Tramp
AS;Aunt Siqiniq;;Brother Bear 2
AT;Aunt Taqqiq;;Brother Bear 2
A;Aurora;;Sleeping Beauty
A;Axe;;Beauty and the Beast: The Enchanted Christmas
B;B.E.N.;;Treasure Planet[29]
B;Babette;;Beauty and the Beast
BB;Babyface Beagle;;DuckTales
RB;Baby Red Bird;;Mickey Mouse Clubhouse
BH;Baby Herman;;Who Framed Roger Rabbit
BB;Backwoods Beagle;;DuckTales
BB;Bacon Beagle;;DuckTales
BB;Baggy Beagle;;DuckTales
B;Bagheera;;The Jungle Book
B;Baileywick;;Sofia the First
B;Baker;;Beauty and the Beast
B;Baker;;Cinderella II: Dreams Come True
B;Ballerina;;Fantasia 2000
BB;Baloo Bear;;The Jungle Book
B;Bambi;;Bambi
B;Banzai;;The Lion King
B;Bankjob Beagle;;DuckTales
B;Bartholomew;;The Great Mouse Detective
B;Bashful;;Snow White and the Seven Dwarfs
B;Basil of Baker Street;;The Great Mouse Detective
B;Baylene;;Dinosaur
B;Bear;;Bedknobs and Broomsticks
BB;Beary Barrington;;The Country Bears
B;Beast;;Beauty and the Beast
B;Beaver;;Lady and the Tramp
B;Bella;;Mickey Mouse Clubhouse
B;Belle;;Beauty and the Beast
B;Ben;;Pocahontas
BA;Ben Ali Gator;;Fantasia
BC;Benjamin Clawhauser;;Zootopia
BC;Benny the Cab;;Who Framed Roger Rabbit
BT;Bent-Tail the Coyote;;The Legend of Coyote Rock
BT;Bent-Tail Junior;;Sheep Dog
BB;Bentina Beakley;;DuckTales
BG;Beret Girl;;An Extremely Goofy Movie
B;Berlioz;;The Aristocats
B;Bernard;;The Rescuers
BA;Big Al;;The Country Bears
BW;Big Bad Wolf;;Three Little Pigs
BM;Big Mama;;The Fox and the Hound
BB;Bigtime Beagle;;DuckTales
BL;Bill the Lizard;;Alice in Wonderland
BB;Billy Boss;;The Aristocats
BB;Billy Bones;;Treasure Planet
B;Bimbette;;Beauty and the Beast
BM;Binkie Muddlefoot;;Darkwing Duck
BB;Binky Beagle;;DuckTales
BB;Black Bart;;The Sword in the Stone
B;Blake;;Bolt
B;Blaze;;Tinker Bell and the Lost Treasure
BF;Blue Fairy;;Pinocchio
B;Bobble;;Disney Fairies
B;Bolt;;Bolt
BB;Bomber Beagle;;DuckTales
BH;Bonnie Hopps;;Zootopia
B;Bookseller;;Beauty and the Beast
B;Boomer;;The Fox and the Hound
BB;Bonkers D. Bobcat;;Bonkers
BB;Boss Beaver;;Timon and Pumbaa
BB;Bouncer Beagle;;DuckTales
BG;Bowler Hat Guy;;Meet the Robinsons
BB;Br'er Bear;;Song of the South
BF;Br'er Fox;;Song of the South
BR;Br'er Rabbit;;Song of the South
BU;Bradley Uppercrust III;;An Extremely Goofy Movie
BD;Bruno the Dog;;Cinderella
B;Bruton;;Dinosaur
BN;Brutus and Nero;;The Rescuers
B;Buck;;Home on the Range
BC;Buck Cluck;;Chicken Little
BB;Bucky Bug;;Silly Symphonies
BO;Bucky Oryx-Antlerson;;Zootopia
BS;Bucky the Squirrel;;The Emperor's New Groove
BC;Buford the Cook;;The Princess and the Frog
BB;Bugle Beagle;;DuckTales
BB;Burger Beagle;;DuckTales
B;Buster;;Lady and the Tramp II: Scamp's Adventure
BB;Butch the Bulldog;;Bone Trouble
BV;Buzzie the Vulture;;The Jungle Book
C;Cadpig;;101 Dalmatians: The Series
C;Calliope;;Hercules
C;Candlehead;;Wreck-It Ralph
TC;The Captain;;One Hundred and One Dalmatians
CA;Captain Amelia;;Treasure Planet
CH;Captain Hook;;Peter Pan
JS;Captain John Smith;;Pocahontas
CP;Captain Phoebus;;The Hunchback of Notre Dame
CR;Carl the Robot;;Meet the Robinsons
CM;Carlotta the Maid;;The Little Mermaid
TC;The Carpenter;;Alice in Wonderland
CJ;Casey Junior;;Dumbo
C;Cash;;The Fox and the Hound 2
C;Cassim;;Aladdin and the King of Thieves
TC;The Caterpillar;;Alice in Wonderland
CE;Catty the Elephant;;Dumbo
CV;Cecil the Vulture;;Jungle Cubs
CS;Cedric the Sorcerer;;Sofia the First
C;Chaca;;The Emperor's New Groove
C;Chandeleria;;Belle's Magical World
CM;Chair Mouse;;The Rescuers
C;Chainsaw;;Goof Troop
CB;Charlotte La Bouff;;The Princess and the Frog
CC;Cheetata and Cheetato;;Timon and Pumbaa
CB;Chef Bouche;;Beauty and the Beast
CL;Chef Louis;;The Little Mermaid
C;Chernabog;;Fantasia
CC;Cheshire Cat;;Alice in Wonderland
CF;Chi-Fu;;Mulan
C;Chicha;;The Emperor's New Groove
CL;Chicken Little;;Chicken Little
C;Chief;;The Fox and the Hound
CB;Chief Bogo;;Zootopia
CP;Chief Powhatan;;Pocahontas
CP;Chien-Po;;Mulan
C;Chip;;Private Pluto
CP;Chip Potts;;Beauty and the Beast
CR;Christopher Robin;;Winnie the Pooh and the Honey Tree
C;Cinderella;;Cinderella
CA;Circus Animals;;Dumbo
C;Clank;;Disney Fairies
CC;Clara Cluck;;Orphan's Benefit
CC;Clarabelle Cow;;Plane Crazy
C;Clayton;;Tarzan
C;Cleo;;Pinocchio
C;Clio;;Hercules
CD;Cloak and Dagger;;The Little Mermaid II: Return to the Sea
CT;Clopin Trouillefou;;The Hunchback of Notre Dame
C;Clotho;;Hercules
C;Clover;;Sofia the First
TC;The Coachman;;Pinocchio
CB;Cobra Bubbles;;Lilo & Stitch
C;Codfish;;Bedknobs and Broomsticks
