initials;initials-all;full-name;first-name;last-name;action-object;description;date-of-birth
OO;OO;Osbourne Ozzy;Osbourne;Ozzy;;Musician, songwriter;1948-12-03
OO;OO;Oguchi Onyewu;Oguchi;Onyewu;;Soccer player;1982-05-13
OO;OO;Olajide Olatunji;Olajide;Olatunji;;British YouTube commentator;1994-06-19
OO;OO;Olusegun Obasanjo;Olusegun;Obasanjo;;Nigerian politician;1937-03-05
OO;OO;Olivia Olson;Olivia;Olson;;Actress;1992-05-21
OO;OO;Otto Ohlendorf;Otto;Ohlendorf;;German general;1907-02-04
OO;OO;Oladipo Omishore;Oladipo;Omishore;;American record producer;1986-01-01
OO;OO;Oona O'Neill;Oona;O'Neill;;Wife of Sir Charles Chaplin;1925-05-14
OO;OO;Ogenyi Onazi;Ogenyi;Onazi;;Footballer;1992-12-25
OO;OO;Oleksiy Oliynyk;Oleksiy;Oliynyk;;Russian mixed martial artist;1977-06-25
OO;OO;Oliver Onions;Oliver;Onions;;British novelist;1873-11-13
OO;OO;Osama Omar;Osama;Omar;;Son of deceased Al-Qaeda leader Osama bin Laden;1981-01-01
OO;OO;Oluchi Onweagba;Oluchi;Onweagba;;Nigerian model;1982-08-01
OO;OO;Olivia Ong;Olivia;Ong;;Singaporean actor and singer;1985-10-02
OO;OO;Ojukwu Odumegwu;Ojukwu;Odumegwu;;Nigerian politician and military leader;1933-11-04
OO;OO;Octavio Ocampo;Octavio;Ocampo;;Mexican artist;1943-01-01
OO;OO;Olive Oatman;Olive;Oatman;;;1837-01-01
OO;OO;Oge Okoye;Oge;Okoye;;Nigerian actor;
OO;OO;Onyeka Onwenu;Onyeka;Onwenu;;Nigerian actor, singer and politician;1961-05-17
OO;OO;Olaitan Olaonipekun;Olaitan;Olaonipekun;;rap musician;
OO;OO;Oskar Osala;Oskar;Osala;;Ice hockey player;1987-12-26
OO;OO;Oluwatobi Ojosipe;Oluwatobi;Ojosipe;;Nigerian musician;1985-10-18
OO;OO;Ossi Oswalda;Ossi;Oswalda;;German actress;1899-02-02
OA;OA;Odette Annable;Odette;Annable;;American actress;1985-05-10
OA;OA;Omar Abdulrahman;Omar;Abdulrahman;;Emirati footballer;1991-09-20
OA;OA;Orlando Anderson;Orlando;Anderson;;Murder suspect;1974-08-13
OA;OA;Oleksander Aliyev;Oleksander;Aliyev;;footballer;1985-02-03
OA;OA;Oussama Assaidi;Oussama;Assaidi;;Footballer;1988-08-15
OA;OA;Oswald Avery;Oswald;Avery;;Canadian-born American physician and medical researcher;1877-10-21
OA;OA;of Alfred;of;Alfred;;Duke of Saxe-Coburg and Gotha;1844-08-06
OA;OZA;Oscar Acosta;Oscar;Acosta;;Attorney, activist, author;1935-04-08
OA;OA;Of Andrew;Of;Andrew;;Greek prince;1882-02-02
OA;OA;Of Agatha;Of;Agatha;;Christian martyr saint;
OA;OA;Omari Akhmedov;Omari;Akhmedov;;Mixed martial artist;1987-10-12
OA;OA;Oliveira Adryan;Oliveira;Adryan;;Footballer;1994-10-08
OA;OA;Osvaldo Ardiles;Osvaldo;Ardiles;;Football (soccer);1952-08-03
OA;OA;Omar Abdullah;Omar;Abdullah;;Indian politician;1970-03-10
OA;OA;Of Aristarchus;Of;Aristarchus;;Ancient Greek mathematician and astronomer;
OA;ODA;Oswald Andrade;Oswald;Andrade;;Brazilian poet, writer;1890-01-11
OA;OA;Of Axeman;Of;Axeman;;American serial killer;
OA;OA;Omar Abdel-Rahman;Omar;Abdel-Rahman;;Egyptian criminal;1938-05-03
OA;OA;of Alexander;of;Alexander;;King of Greece;1893-08-01
OA;OA;Olly Alexander;Olly;Alexander;;Actor, writer;1990-01-01
OA;OA;Ogie Alcasid;Ogie;Alcasid;;Filipino singer-songwriter, television presenter, comedian, parodist, and actor.;1967-08-27
OA;OA;of Anna;of;Anna;;Empress of Russia;1693-02-07
OA;OA;Ole Anderson;Ole;Anderson;;professional wrestler and professional wrestling promoter;1942-09-22
OA;OA;of Anne;of;Anne;;Queen consort of James VI of Scots, I of England;1574-12-12
OB;OVB;Otto Bismarck;Otto;Bismarck;;Chancellor of Germany, Diplomat;1815-04-01
OB;OB;Orlando Bloom;Orlando;Bloom;;British actor;1977-01-13
OB;OHB;Osman Bey;Osman;Bey;;Ottoman stateman, academic and artist;1842-01-01
OB;ONB;Omar Bradley;Omar;Bradley;;United States Army field commander during World War II;1893-02-12
OB;OB;Oksana Baiul;Oksana;Baiul;;Figure skater;1977-11-16
OB;OB;Omer Bhatti;Omer;Bhatti;;Norwegian musician;1985-06-14
OB;OB;Omar Bashir;Omar;Bashir;;Sudanese president;1944-01-01
OB;OB;of Benedict;of;Benedict;;Italian monk;
OB;OB;Orson Bean;Orson;Bean;;American Actor;1928-07-22
OB;OB;Oliver Bierhoff;Oliver;Bierhoff;;German footballer;1968-05-01
OB;OB;Orlando Brown;Orlando;Brown;;American actor and musician;1987-12-04
