initials;full-name;action-object;description
AS;Abominable Snowman;;Monsters, Inc.
A;Acer;;Cars 2
AM;Al McWhiggin;;Toy Story 2
AL;Alfredo Linguini;;Ratatouille
A;Anchor;;Finding Nemo
AD;Andy Davis;;Toy Story
AM;Andy's Mom;;Toy Story
A;Anger;;Inside Out
AR;Anton Ego;;Ratatouille
A;Arlo;;The Good Dinosaur
A;Art;;Monsters University
AG;Auguste Gusteau;;Ratatouille
A;Auto;;WALL-E
BO;Babs the Octopus;;Partysaurus Rex
B;Bailey;;Finding Dory
B;Barbie;;Toy Story 2
B;Becky;;Finding Dory
BK;Bernie Kropp;;The Incredibles
BB;Bing Bong;;Inside Out
B;Bloat;;Finding Nemo
BA;Bonnie Anderson;;Toy Story 3
BM;Bonnie's Mom;;Toy Story 3
BP;Bo Peep;;Toy Story
BV;Bomb Voyage;;The Incredibles
B;Boo;;Monsters, Inc.
B;Bookworm;;Toy Story 3
BM;Brent Mustangburger;;Cars 2
MP;Brock Pearson;;Monsters University
B;Bruce;;Finding Nemo
B;Bubbles;;Finding Nemo
B;Buck;;The Good Dinosaur
B;Bullseye;;Toy Story 2
B;Butch;;The Good Dinosaur
B;Buttercup;;Toy Story 3
BL;Buzz Lightyear;;Toy Story
CM;Captain B. McCrea;;WALL-E
CS;Captain Suds;;Partysaurus Rex
CF;Carl Fredricksen;;Up
CW;Carrie Williams;;Monsters University
CM;Celia Mae;;Monsters, Inc.
CM;Charles F. Muntz;;Up
C;Charlie;;Monsters, Inc.
CT;Chatter Telephone;;Toy Story 3
CA;Chet Alexander;;Monsters University
CH;Chick Hicks;;Cars
CD;Chuck E. Duck;;Partysaurus Rex
CC;Chuckles the Clown;;Toy Story 3
C;Chunk;;Toy Story 3
C;Chum;;Finding Nemo
C;Charlie;;Finding Dory
CW;Claire Wheeler;;Monsters University
CT;Collette Tatou;;Ratatouille
C;Coral;;Finding Nemo
CB;Crabby the Boat;;Cars 2
C;Crow, The;;Brave
C;Crush;;Finding Nemo
CA;Cuddles the Alligator;;Partysaurus Rex
CR;Cruz Ramirez;;Cars 3
D;Dad;;Party Central
DS;Darla Sherman;;Finding Nemo
DC;Darrell Cartrip;;Cars
DP;Dash Parr;;The Incredibles
DH;David Hobbscap;;Cars 2
DH;Dean Hardscrabble;;Monsters University
D;Deb (and Flo);;Finding Nemo
D;Destiny;;Finding Dory
D;Dim;;A Bug's Life
D;Disgust;;Inside Out
D;Django;;Ratatouille
DH;Doc Hudson;;Cars
D;Dolly;;Toy Story 3
DC;Don Carlton;;Monsters University
D;Dory;;Finding Nemo
DF;Dr. Flora;;A Bug's Life
DW;Drips the Whale Faucet Cover;;Partysaurus Rex
D;Dug;;Up
E;Earl;;The Good Dinosaur
EM;Edna Mode;;The Incredibles
HP;Elastigirl/Helen Parr;;The Incredibles
E;Elinor;;Brave
EF;Ellie Fredricksen;;Up
E;Emile;;Ratatouille
EZ;Emperor Zurg;;Toy Story 2
E;EVE;;WALL-E
F;Fear;;Inside Out
F;Fillmore;;Cars
FM;Finn McMissile;;Cars 2
F;Flik;;A Bug's Life
F;Flo;;Cars
FW;Forrest Woodbush;;The Good Dinosaur
FB;Francesco Bernoulli;;Cars 2
F;Francis;;A Bug's Life
