initials;full-name;action-object;description
SH;Sherlock Holmes;studying ... Holmes Hat;Sherlock Holmes
JW;John Watson;shaving ... mustache;Sherlock Holmes
MH;Mycroft Holmes;panting ... excercise bike;Sherlock Holmes
JM;Jim Moriarty;falling ... pool;Sherlock Holmes
MH;Mrs Hudson;dropping ... tea;Sherlock Holmes
SD;Sally Donovan;wrapping ... police tape;Sherlock Holmes
MH;Molly Hooper;shaking ... erlenmeyer flask;Sherlock Holmes
GL;Greg Lestrade;knocking on loci with ... warrent;Sherlock Holmes
IM;Iron Man;paying with ... money;Super Heroes
H;Hawkeye;reaching into ... quiver;Super Heroes
A;Angel;Flapping ... Angel Wings;Super Heroes
W;Wolverine;Extending ... Claws;Super Heroes
B;Beast;brushing ... blue fur;Super Heroes
T;Thor;crushing ground ... hammer;Super Heroes
H;Hulk;struck by ... radiation symbol;Super Heroes
SM;Spider Man;swinging by ... web;Super Heroes
BW;Black Widow;shooting ... guns;Super Heroes
CA;Captain America;frisbeeing ... shield;Super Heroes
GL;Green Lantarn;teleporting ... ring;Super Heroes
GA;Green Arrow;putting on head ... hood;Super Heroes
J;Joker;grab from pocket ... playing card;Super Heroes
B;Batman;releasing ... bats;Super Heroes
C;Catwoman;purring ... cat;Super Heroes
S;Superman;flying ... cape;Super Heroes
B;Bane;ripping off ... breather;Super Heroes
F;Flash;running into ... wall;Super Heroes
WW;Wonder Woman;whipping ... whip;Super Heroes
HQ;Harley Quinn;Hitting ... baseball bat;Super Heroes
LS;Luke Skywalker;Buying ... droids;Star Wars
OK;Obi-wan Kenobi;fighting sandpeople ... lightsaber;Star Wars
RD;R2-D2;bleeping ... lights;Star Wars
CP;C3-PO;saluting ... gold plating;Star Wars
MB;Maris Brood;doing hair ... dreadlocks;Star Wars
Y;Yoda;force lifting ... X-wing fighter;Star Wars
CT;Clone Trooper;"firing at ...  but missing",target;Star Wars
HS;Han Solo;pilotting ... Milennium Falcon;Star Wars
LO;Leia Organa;dancing ... slave outfit;Star Wars
C;Chewbacca;repairing ... crossbow;Star Wars
DB;Darth Baras;chewing ... pizza;Star Wars
DV;Darth Vader;breathing heavily ... Vader Helmet;Star Wars
DM;Darth Maul;tattooing ... double bladed lightsaber;Star Wars
EP;Emperor Palpatine;shocking ... death star;Star Wars
GG;General Grievous;coughing ... heart;Star Wars
BF;Boba Fett;decapitated by ... jetpack;Star Wars
JH;Jabba the Hutt;crawling ... snail;Star Wars
DR;Darth Revan;pulling down ... meteor;Star Wars
DT;Darth Talon;sensually stroking ... Lekku;Star Wars
R;Rancor;getting crushed by ... gate;Star Wars
BC;Bradley Cooper;swallowing ... pills;
R;Rain;walking off ... weights;
MJ;Michael Jackson;moonwalking ... white glove;
TC;Tom Cruise;hanging ... cord;
PW;Paul Walker;crashing ... sports car;
AJ;Angelina Jolie;curving ... bullet;
MB;Madilyn Bailey;slamming ... guitar;
MC;Miley Cyrus;twerking ... wrecking ball;
SG;Sasha Grey;having sex with ... fat man;
LS;Lindsey Stirling;playing ... violin;
MU;Morihei Ueshiba;meditating ... Waterfall;
AE;Albert Einstein;writing ... blackboard;
CC;Charley Chaplin;spinning ... cane;
GF;Guy Fawkes;detonating ... bomb;
AH;Adolf Hitler;raising hand ... tank;
NT;Nicola Tesla;creating between coils ... electricity;
EP;Elvis Presley;singing ... pompadour;
AL;Abraham Lincoln;sitting ... stone chair;
MM;Marilyn Monroe;lifting ... dress;
LV;Leonardo da Vinci;painting ... mona lisa;
