initials;full-name;action-object
AE;Albert Einstein;Write ... Board
HS;Han Solo;Shoot ... Blaster gun
MJ;Michael Jackson;Dance ... White Glove
AS;Arnold Scharzenegger;Lift ... Weights
NA;Neil Armstrong;Walk ... Moon
IJ;Indiana Jones;Crack ... Whip
FC;Fidel Castro;Smoke ... Cigar
D;Dragon;Breathe ... Fire
R;Referee;Toss ... Coin
EP;Elvis Presley;Sing ... Microphone
MT;Mike Tyson;Bite ... Ear
N;Nurse;Wrap ... Bandage
MM;Marilyn Monroe;Blow ... Skirt
BG;Bill Gates;Program ... Computer
S;Superman;Fly ... Cape
P;Pharmacist;Sell ... Medicine
MF;Megan Fox;Repair ... Engine
OM;Old Man;Sit ... Chair
J;Jason;Kill ... Machete
G;Garfield;Sleep ... Box
MP;Michael Phelps;Swim ... Pool
P;Policemen;Give ... Ticket
F;Fireman;Spray Water ... Hose
W;Woman;Open ... Refrigerator
R;Raptor;Protect ... Egg
SJ;Steve Jobs;Call ... iPhone
T;Tigger;Bounce ... Tail
Z;Zombies;Eat ... Brains
B;Bumblebee;Transform ... Camaro
WS;Will Smith;Wear ... Black Suit
DV;Darth Vader;Fight ... Lightsaber
S;Spiderman;Climb ... Wall
H;Houdini;Escape ... Chains
T;Tarzan;Swing ... Vine
S;Squirrel;Live ... Tree
JN;Jimmy Neutron;Build ... Rocket
UB;Usain Bolt;Run ... Tennis Shoes
S;Snowman;Lick ... Ice Cone
D;Dracula;Suck ... Blood
D;Dentist;Pull ... Tooth
C;Clown;Joggle ... Rings
M;Marty;Time Travel ... DeLorean
W;Witch;Poison ... Apple
JB;James Bond;Drive ... BMW
FM;French Maid;Clean ... Duster
T;Thief;Steal ... Wallet
S;Skydiver;Fall ... Parachute
A;Amish;Milk ... Cow
C;Chef;Boil ... Lobster
B;Baker;Icing ... Cake
M;Mailman;Deliver ... Letter
VS;Victoria Secret;Model ... Underwear
CB;Captain Barbosa;Sail ... Boat
HP;Harry Potter;Wave ... Wand
P;Pepe;Smell ... Flowers
M;Miner;Dig ... Coal
M;Madonna;Flash ... Boob
S;Stripper;Earn ... Money
BW;Bruce Willis;Shave ... Head
BD;Blackjack Dealer;Deal ... Cards
TW;Tiger Woods;Kiss ... Trophy
P;Predator;Collect ... Skull
S;Skier;Slide ... Skis
LA;Lance Armstrong;Ride ... Bike
B;Bride;Choose ... Wedding Dress
C;Cinderella;Try ... Glass Slipper
S;Samurai;Cut ... Bamboo
M;Magician;Appear ... Rabbit
J;Jeweler;Inspect ... Diamond
B;Butler;Serve ... Wine Glass
N;Neo;Stop ... Bullets
Z;Zeus;Throw ... Lightning Bolt
BC;Bill Clinton;Play ... Sax
MJ;Michael Jordan;Dunk ... Basketball
OW;Old Woman;Knit ... Sweater
BL;Bruce Lee;Kick ... Punching bag
WE;Wall-E;Recycle ... Trash
LS;Luke Skywalker;Carry ... Yoda
R;Rocky;Punch ... Speedball
S;Spartan;Attack ... Spear
C;Cat;Roll ... Ball of Yarn
BS;Bart Simpson;Skate ... Skateboard
M;Monkey;Peel ... Banana
S;Soldier;Search ... Binoculars
LS;Lisa Simpson;Read ... Book
TB;Tinker Bell;Sprinkle ... Pixie Dust
A;Aladdin;Rub ... Lamp
RH;Robin Hood;Aim ... Arrow
D;Doctor;Inject ... Butt
FG;Forrest Gump;Fish ... Shrimp
HS;Homer Simpson;Dream ... Beer
D;Dog;Pee ... Hydrant
FK;Freddy Krueger;Stab ... Knives
AK;Anna Kournikova;Swing ... Racket
MO;Michelle Obama;Plant ... Carrot
H;Homeless;Hold ... Sign
JS;Jack Sparrow;Find ... Treasure
H;Hulk;Smash ... Tank
