initials;full-name;action-object
SC;Santa Claus;sewing ... saw
T;Tarzan;teeing ... tea
NB;Napoleon Bonaparte;gnawing ... hen
M;Madonna;mowing ... ammo
R;Roseanne;rowing ... arrow
L;Liberace;oiling ... owl
C;Cher;hashing ... shoe
G;Grover;egging ... cow
F;Fabio;waving ... hoof
P;Prince;bowing ... boa
SS;Suzanne Somers;seizing ... sauce
SD;Snoop Dogg;stewing ... suit
SN;Steve Nash;signing ... snow
S;Superman;summing ... sumo
S;Sally;Ride	searing ... sari
SL;Stuart Little;swallowing ... seal
SJ;Steve Jobs;swishing ... soju
SM;Sarah Michelle Gellar;sucking ... sock
SF;Sigmund Freud;saving ... safe
SP;Sarah Palin;sipping ... soap
DS;David Spade;tazing ... daisy
DD;Danny Devito;tattooing ... toad
DN;Daniel Negreanu;twining ... dna
DM;Dean Martin;demoing ... dime
DR;Denise Richards;drying ... tire
DL;David Letterman;dueling ... till
DS;David Schwimmer;dodging ... dish
DK;Donkey Kong;tugging ... duck
DF;Dakota Fanning;deifying ... dove
DP;Dolly Parton;taping ... tipi
NS;Nancy Sinatra;nosing ... nose
ND;Napoleon Dynamite;hunting ... ant
NN;Nick Nolte;nannying ... onion
NM;Norm Macdonald;numbing ... gnome
NR;Norman Rockwell;nairing ... wiener
NL;Nancy Lopez;inhaling ... nail
NS;Norman Schwarzkopf;notching ... nacho
NC;Nicolas Cage;nocking ... nuk
NF;Nathan Bedford Forrest;knifing ... navy
NP;Natalie Portman;nipping ... nib
MS;Martha Stewart;mousing ... mace
MD;Mike Davis;muddying ... mead
MW;Max Weinberg;mooning ... menu
MM;Marilyn Monroe;miming ... mummy
MR;Mike Rowe;marrying ... hammer
ML;Meat Loaf;mauling ... mail
MS;Martin Sheen;mashing ... mage
ML;Martin Luther King Jr.;mugging ... mic
MF;Michael J. Fox;moving ... muff
MP;Matthew Perry;mopping ... amoeba
RS;Richard Simmons;racing ... horse
RD;Rene Descartes;riding ... rat
RN;Richard Nixon;horning ... iron
RM;Rick Moranis;worming ... ram
RR;Ronald Reagan;rearing ... warrior
RL;Ralph Lauren;realing ... roll
RS;Ravi Shankar;reaching ... roach
RK;Ray Krok;raking ... rook
RF;Rollie Fingers;reeving ... reef
RP;Rhea Perlman;raping ... rib
LS;Lisa Simpson;lassoing ... lace
LT;Lily Tomlin;welding ... lute
LN;Leonard Nimoy;aligning ... lion
LM;Liza Minnelli;helming ... lime
LR;Little Richard;leering ... lure
LL;Lucy Liu;lolling ... lolly
LS;Laura Schlessinger;leashing ... leach
LK;Larry King;lagging ... lock
LF;Laurence Fishburne;laving ... leaf
LP;Luciano Pavarotti;elbowing ... loupe
GS;Gene Simmons;juicing ... cheese
ST;Shirley Temple;shading ... jet
JN;Jack Nicholson;shining ... chain
JM;Jim Morrison;shaming ... chime
JR;Janet Reno;sheering ... gyro
JL;Jon Lovitz;shelling ... chili
JJ;Janet Jackson;judging ... hashish
JK;John F. Kennedy;choking ... jack
JF;Jeff Foxworthy;chafing ... sheaf
JP;Joe Pesci;chipping ... jeep
GS;Gwen Stefani;goosing ... goose
JR;Jessica Rabbit;coating ... cat
GN;Greg Norman;caning ... wagon
GM;Groucho Marx;combing ... gum
KR;Keanu Reeves;coring ... walker
GL;Geddy Lee;gluing ... igloo
GJ;Gordon Jump;caging ... couch
GG;Gilbert Gottfried;cooking ... cake
KF;Kate Flannery;giving ... coffee
GP;Gwyneth Paltrow;copying ... cab
FS;Frank Sinatra;vising ... vase
FD;Fats Domino;voting ... foot
FN;Florence Nightingale;fanning ... phone
FM;Freddy Mercury;fuming ... ovum
FR;Franklin D. Roosevelt;firing ... wafer
VL;Vince Lombardi;flying ... waffle
FJ;Freddie Jones;fishing ... fish
VK;Val Kilmer;voguing ... fag
VV;Vincent VanGogh;high fiving ... fife
VP;Vincent Price;fibbing ... fob
PS;Patrick Stewart;pissing ... bus
PD;Princess Diana;batting ... patty
PN;Paul Newman;panning ... bunny
B;Batman;beaming ... bomb
BR;Babe Ruth;burying ... bra
BL;Bruce Lee;plowing ... pill
BJ;Billy Joel;budging ... bush
BG;Bill Gates;puking ... bike
BF;Ben Franklin;puffing ... beehive
BB;Big Bird;popping ... puppy
