initials;full-name;action-object;description
HD;Humpty Dumpty;Falling ... Egg;
DG;Dorothy Gale;Skipping ... Red Shoe;
UB;Usain Bolt;Sprinting ... Gold Medal;
GB;Gandalf;Burning ... The One Ring;
MA;Muhammad Ali;Boxing ... Boxing Glove;
PP;Peter Pan;Flying ... Red Feather;
BR;Babe Ruth;Batting ... Baseball Bat;
WB;Wright Brothers;Taking flight ... Wright Flyer;
TB;The Beatles;Drumming ... Snare Drum;
MZ;Mark Zuckerberg;Coding ... Laptop;
MJ;Michael Jackson;Moonwalking ... Sequined Glove;
AE;Albert Einstein;Chalking ... Blackboard;
RF;Roger Federer;Racquet-smashing ... Tennis Racquet;
SC;Simon Cowell;Red-buzzering ... Red Buzzer;
HP;Harry Potter;Spell-casting ... Wand;
SJ;Steve Jobs;Presenting ... iPhone;
SM;Spider-Man;Web-shooting ... Spider Web;
MP;Michael Phelps;Swimming ... Swim Goggles;
CH;Cat in the Hat;Balancing ... Fish bowl;
TH;Tony Hawk;Skateboard-grinding ... Skateboard;
P;Pelé;Goal-kicking ... Soccer Ball;
NA;Neil Armstrong;Low-gravity-jumping ... Spacesuit;
TB;Tom Brady;Spiral-throwing ... Football;
HF;Henry Ford;Mass-producing ... Model T;
CC;Charlie Chaplin;Miming ... Cane;
JC;Julius Caesar;Collapsing ... Laurel Wreath;
AL;Abraham Lincoln;Axing ... Axe;
BF;Benjamin Franklin;Kite-flying ... Kite;
TW;Tiger Woods;Golfing ... Golf Ball;
A;Adele;Singing ... Microphone;
BW;Barbara Walters;Interviewing ... Armchair;
RM;Rain Man;Counting ... Deck of Cards;
LA;Louis Armstrong;Trumpeting ... Trumpet;
MJ;Michael Jordan;Dunking ... Basketball;
WP;Winnie-the-Pooh;Unsticking ... Honeypot;
SC;Santa Claus;Reindeer-flying ... Sleigh;
HH;Harry Houdini;Getting free ... Handcuffs;
HK;Helen Keller;Feeling ... Water Pump;
MM;Mickey Mouse;Enchanting ... Wizard Hat;
P;Popeye;Bulking up on ... Can of Spinach;
CS;Colonel Sanders;Deep-frying ... Chicken;
SD;Salvador Dali;Painting ... Paint;
FR;Franklin D. Roosevelt;Wheeling ... Wheelchair;
KK;King Kong;Climbing ... Empire State Bldg;
DD;Donald Duck;Stomping ... Blue Cap;
PP;Porky Pig;Bursting through ... Bass Drum;
JO;Jesse Owens;Long-jumping ... Track Spikes;
AE;Amelia Earhart;Crashing ... Plane Propeller;
S;Superman;X-ray-viewing ... Kryptonite;
B;Batman;Knife-throwing ... Batarang;
BB;Bugs Bunny;Eating ... Carrot;
CA;Captain America;Throwing & Catching ... Shield;
JR;Jackie Robinson;Sliding into ... Home Plate;
RP;Richard Petty;NASCAR-racing ... NASCAR #43;
DE;Dwight Eisenhower;Reviewing formation ... Army Jeep;
JW;John Wayne;Drawing-from-holster ... .45 Colt Revolver;
EL;Estée Lauder;Perfuming ... Perfume;
CK;Captain Kirk;Phasering ... Phaser;
MG;Mahatma Gandhi;Meditating ... Rug;
RR;Road Runner;Fleeing ... Cactus;
CB;Charlie Brown;Bringing-to-Snoopy ... Dog Bowl;
LB;Lucille Ball;Talking on ... Rotary Phone;
EH;Ernest Hemingway;Fishing ... Marlin;
QE;Queen Elizabeth II;Being crowned ... Crown;
AH;Audrey Hepburn;Pedaling ... Bicycle;
RP;Rosa Parks;Refusing to get off ... Bus Seat;
EP;Elvis Presley;Windmilling arm ... Record;
HH;Henry J. Heinz;Ketchuping ... Ketchup Bottle;
FS;Frank Sinatra;Boarding ... Airliner;
CH;Charlton Heston;Chariot-racing ... Chariot;
FF;Fred Flintstone;Bowling ... Bowling Ball;
JC;Julia Child;Stewing ... Beef Burgundy;
BD;Bob Dylan;Blowing on ... Harmonica;
JK;John F. Kennedy;Sailing ... Sailboat;
MP;Mary Poppins;Floating down ... Umbrella;
MK;Martin Luther King Jr;Marching ... Protest Sign;
TG;The Grinch;Stealing ... Christmas Tree;
AF;Aretha Franklin;Removing ... Fur Coat;
JH;Jimi Hendrix;Guitar-playing ... Guitar;
SD;Scooby-Doo;Running-in-place ... Dog Collar;
AS;Arnold Schwarzenegger;Benchpressing ... Barbell;
WW;Willy Wonka;Hiding Golden Ticket ... Wonka Bar;
BF;Bobby Fischer;Checkmating ... Chess King;
BL;Bruce Lee;Karate-breaking ... Wood Board;
JD;John Denver;Hiking ... Backpack;
KA;King Arthur;Retrieving ... Excalibur Sword;
GW;George Washington;River-crossing ... Tricorn Hat;
DV;Darth Vader;Lightsabering ... Lightsaber;
G;Garfield;Sleeping ... Pillow;
TE;Thomas Edison;Illuminating ... Light Bulb;
PM;Pac-Man;Pac-dot-eating ... Cherry;
IJ;Indiana Jones;Whipping ... Bullwhip;
DL;David Letterman;Drinking ... Coffee Mug;
HH;Hulk Hogan;Wrestle-slamming ... Yellow Boot;
GO;George Orwell;Steeping ... Teapot;
