initials;full-name;action-object
OO;Olive Oyl;Flirting with Popeye
OA;Orphan Annie;Holding doll saying Gee whiskers
OK;Obi-Wan Kenobi;Waving light sabre
OC;Oliver Cromwell;Loading musket
OH;Olivia de Haviland;drinking mead with Robin Hood
OE;Old English;Tolkien puffing his pipe
OS;Omar Sharif;Wearing turban in Lawrence of Arabia and riding horse
OG;Oscar the grouch;Grumbling very loudly in trash can
OH;Oliver Hardy;Swinging a piece of wood
ON;Oliver North;Testifying in Court
AO;Annie Oakley;Holding two guns
AA;Andre Agassi;Smashing a tennis ball
A;Abba;singing Dancing Queen
AC;Al Capone;Wearing hat and smoking cigar
JC;Jesus Christ;Preaching a sermon
AE;Albert Einstein;writing on a blackboard
AS;Arnold Schwarzenegger;Flexing muscles
AG;Alex Guinness;Drinking Guinness
AN;Alfred Nobel ;Making dynamite in his laboratory
B;Buddha;sitting under the Bo tree
BA;Benny Anderson;Playing piano with Abba
BB;Bugs Bunny;Eating a carrot
BD;Bob Dylan;Playing harmonica
BE;Billy Elliott;Jumping in the air and dancing
BS;Bart Simpson;riding a skateboard
BG;Billy Graham;waving a Bible and preaching
BH;Benny Hill;Chasing buxom women
BN;Bert Newton;Smiling on TV
CA;Charlie's Angels;Flicking hair
CB;Charlie Brown;missing the football
CC;Charlie Chaplin;swinging the cane and walking
CD;Charles Darwin;Catching butterflies
CE;Clint Eastwood;saying "Go on, make my day"
CS;Claudia Schiffer;Walking along the catwalk
CG;Che Guevera;riding motorcycle
CH;Charlton Heston;Riding a chariot
CN;Chuck Norris;Doing a karate kick
HS;Homer Simpson;Eating donuts
DA;Douglas Adams;Holding the HHGTTG saying DONT PANIC
DB;David Beckam;kicking a soccer ball into the goal
DC;David Copperfield;doing magic tricks
DD;Donald Duck;talking in his strange duck language
DE;Douwe Egbert;Sipping coffee
DS;Donald Sutherland;Running in Venice (DONT LOOK NOW)
DG;Dolce Gabana;Adjusting sunglasses
DH;Deborah Harry;Singing in the flesh
DN;David Niven;Wearing a dinner jacket
E;Eeyore;Chewing Thistles
EA;Emperor Augustus;Flashing his toga
EC;Elvis Costello;playing guitar standing pigeon toed
ED;Ernie Dingo;Talking in Aboriginal accent
ES;Edward Scissorhands;snipping the bushes with his scissor hands
EG;Edward Grieg;Conducting orchestra at the piano
EH;Edmund Hilary;waving flag from top of mt everest
SA;Samuel Adams;Swilling Beer
SB;Sleeping Beauty;lying on the bed singing My Prince will come
SS;Steven Spielberg;directing a movie
SG;Stephan Grappelli;Playing Violin in Jazz trio
SH;Sherlock Holmes;smoking pipe and looking with magnifying glass
GO;George Orwell;fighting off rats
GA;Georgio Armani;making a suit
GB;George Bush;smirking in front of White House
G;Gandhi;sitting at spinning wheel
GE;Gloria Estefan;Singing on stage
GS;Gilbert and Sullivan;Singing Opera
GG;Germaine Greer;burning a bra
GH;George Harrison;doing TM meditation
GN;Greg Norman;Swinging a golf club
SC;Santa Claus;shouting Ho Ho Ho
HA;Herp Alpert;Playing the trumpet
HB;Humphrey Bogart;saying Play it again Sam
HC;Dr Harry Cooper;Patting a pet dog
HE;Herb Elliott;Running very fast
HS;Hans Solo;piloting his spaceship
HW;HG Wells;driving the Time Machine
HH;Hugh Heffner;being tickled by Playboy bunnies
HN;Horatio Nelson;Standing at the wheel of the ship
DN;Doctor No;Torturing James Bond with an octopus
NA;Neil Armstrong;walking on the moon
NB;Norman Bates;Stabbing the lady in the shower
NC;Neville Chamberlain;Waving piece of paper
ND;Neil Diamond;singing Crunchy Granola
NE;Nora Ephron;Typing screenplay Harry met Sally
NS;Noela Steele;Directing a play
N;Nigella;Sucking her finger
NH;Nathaniel Hawthorne;Ripping up a scarlet letter
NN;Nik Nik;character in Plasmo saying Nik Nik!
